Index,State,Pop Over 1,Same house,Same State,Diff State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Total,Puerto Rico,U.S. Island Area,Foreign Country
14,Illinois,"12,455,441","11,002,931","1,150,055","228,308","2,389",434,"5,377","1,468","20,573","6,720",474,218,"1,028","14,078","7,424",785,839,0,"13,792","8,532","2,072","4,087","1,823",304,"2,260","5,625","12,283","3,743",853,"15,923",242,"1,580","1,135",120,"3,576",827,"12,072","5,384",630,"11,296","1,353","1,706","4,475",91,"1,706",46,"7,420","19,949",349,98,"3,866","3,965",105,"12,764",449,"74,147",362,141,"73,644"
15,Indiana,"6,757,160","5,886,762","691,986","149,331",792,"1,118","4,953","2,888","7,769","3,586",687,25,716,"7,474","2,326","1,133","1,994","31,015",0,"1,364",823,"9,350","1,328",135,"1,739","1,308","13,184","1,742",116,"1,907",401,446,"2,049",554,"1,907",825,"4,124","2,157",299,"10,634",521,"1,461","2,209","1,177","1,206",0,"3,062","8,276","1,655",0,"2,315","2,282",147,"2,010",142,"29,081",366,82,"28,633"
16,Iowa,"3,166,734","2,760,076","323,444","72,231",180,118,"2,264",580,"2,349","1,932",4,0,178,"3,546",289,"1,154",519,"16,504",402,0,780,356,"1,095",69,653,3,"1,932","5,386",408,"3,657",199,"6,777","1,033",49,795,232,381,804,320,727,915,181,923,121,610,"2,376",355,"3,856","1,250",32,291,786,0,"4,734",126,"10,983",308,0,"10,675"
17,Kansas,"2,906,619","2,480,630","320,201","94,208","1,371",218,"1,519","1,016","5,520","7,359",0,49,57,"4,694","3,284",487,121,"2,766","2,828","2,134",0,811,"1,730",0,192,803,936,"1,606",0,"20,905",47,"3,021",971,0,108,477,"1,865",655,29,"1,834","6,466",617,373,0,18,194,"2,019","7,767","1,366",79,851,"3,475",0,290,"1,280","11,580",780,283,"10,517"
18,Kentucky,"4,462,146","3,892,713","439,944","113,197","1,218",182,"2,618",343,"5,985","2,182",863,0,156,"8,062","4,941",462,787,"6,821","12,947",497,435,0,397,202,903,904,"2,458",192,478,"2,688",154,412,509,152,36,287,"2,200","3,392",0,"12,646",211,801,"1,348",453,"3,322",0,"12,561","7,630","1,203",23,"2,314","3,235","2,679",831,77,"16,292",127,57,"16,108"
19,Louisiana,"4,537,185","4,006,126","435,538","75,330","1,332",432,315,"2,429","4,847","3,329",698,0,343,"5,089","3,215",0,277,"1,223",266,108,159,685,0,83,912,211,"2,062",719,"3,858","1,633",0,238,764,0,"2,288",191,"2,946","1,272",111,"3,427","2,717",421,597,205,"1,814",0,"1,286","17,663",903,29,"1,824","2,021",45,343,0,"20,191",119,0,"20,072"
20,Maine,"1,372,172","1,230,229","95,823","41,618",274,11,138,27,"3,552","1,332","1,243",0,220,"2,911",358,405,0,517,9,6,77,85,139,0,114,"8,663",311,410,90,420,475,285,324,"5,733",759,87,"2,885",675,0,403,0,0,"1,711","1,134",295,159,520,861,0,985,"1,198","1,514",41,262,0,"4,502",0,0,"4,502"
21,Maryland,"6,100,234","5,395,850","511,449","139,784","1,256",364,"1,439",67,"7,198","1,148","1,147","4,880","17,770","8,425","3,193","3,306",201,"3,134",713,81,569,254,732,474,0,"2,686","1,470","1,483","1,055",975,74,37,"1,288",572,"6,151",794,"9,453","4,152",328,"1,963",235,372,"12,481","1,593","5,074",51,"1,688","4,917",176,359,"19,478","1,774","1,812",350,592,"53,151",893,74,"52,184"
22,Massachusetts,"6,918,482","6,065,294","606,626","171,077","1,082",154,"2,251",904,"18,543","2,186","9,503",319,"1,540","11,098","2,024","1,440",345,"4,060","1,616",316,44,499,"1,188","4,545","3,404",0,"2,683","1,426",327,"3,450",351,222,467,"11,502","7,670",330,"21,186","3,934",250,"4,031",475,"1,632","8,009","11,290","3,379",0,"1,407","7,517","1,491","2,941","4,232","3,006",240,568,0,"75,485","1,587",154,"73,744"
23,Michigan,"9,936,710","8,786,959","949,469","157,955","1,846",487,"3,772",640,"13,939","4,589","1,038",510,"1,685","17,557","3,404",69,249,"10,942","9,723",784,"3,274","2,067",781,555,"1,513","1,791",0,"3,070",946,"3,446",745,263,"3,291",278,"3,290",685,"6,161","5,852",0,"10,791",241,"1,832","3,165",232,"3,554",230,"4,933","8,529","1,855",0,"4,323","1,983",33,"5,786","1,226","42,327",513,744,"41,070"
24,Minnesota,"5,654,602","4,940,488","571,566","117,016",732,269,"4,234",713,"6,908","3,620",676,312,466,"4,521",892,199,340,"7,131","3,276","4,403","1,105",179,316,100,"2,514","1,005","1,923",0,921,"2,232","1,459","3,343","2,164",48,829,671,"3,196","2,300","10,946","1,567",210,"1,513","3,524",172,641,"3,757",65,"6,506",563,0,"3,401","2,255",168,"18,702",29,"25,532",450,0,"25,082"
25,Mississippi,"2,907,327","2,584,891","238,542","69,948","5,444",90,"1,848","1,290","1,638","2,701",26,127,0,"6,611","3,094",559,557,847,872,132,567,857,"10,360",10,394,402,512,311,0,686,0,932,693,0,106,0,113,"1,715",0,131,272,280,335,63,"1,356",0,"11,406","8,312",63,47,"1,506","2,090",150,415,28,"13,946",140,737,"13,069"
26,Missouri,"6,111,432","5,320,580","609,551","163,254",570,414,"3,576","9,590","12,107","8,042",203,0,303,"9,758","3,395",729,599,"20,646","3,411","6,473","22,333",735,"1,359",380,864,"1,239","1,170","3,292","1,733",0,0,"2,713","2,291",441,"2,037",744,"2,742","1,162",150,"2,876","3,488","1,124","2,726",225,"2,169",457,"1,829","9,168","2,206",237,"3,701","4,333",511,"2,087",916,"18,047",0,49,"17,998"
27,Montana,"1,111,641","964,155","96,436","48,165",168,498,"2,415",32,"4,660","3,440",24,0,93,"1,993",563,612,"2,244",617,693,392,57,15,857,515,69,158,490,"1,234",229,"1,092",0,675,"1,281",0,62,582,441,"1,507","1,540","1,095",938,"3,691",176,0,41,438,719,"1,357","2,570",156,64,"5,225",0,"1,436","1,011","2,885",0,0,"2,885"
28,Nebraska,"1,943,359","1,698,838","184,950","49,159","1,418",12,"3,661",202,"1,535","6,422",80,105,0,"1,203",447,174,531,"1,295",147,"5,960","2,912",104,496,100,236,800,235,"1,180",274,"3,627",425,0,707,101,318,141,554,538,500,408,637,112,698,186,263,"1,686",22,"4,285",255,0,180,"1,630",466,258,"1,633","10,412",12,109,"10,291"
29,Nevada,"3,145,500","2,719,228","284,073","127,406","1,007","1,537","6,888",771,"48,836","4,522",587,54,106,"2,360",842,"3,380",780,"3,845","1,436","1,631",234,275,"2,125",0,317,748,"2,675","1,863",970,777,691,462,0,85,829,591,"3,795","2,053",404,985,288,"2,942","2,167",0,101,0,"2,606","6,946","4,113",90,"1,436","6,212",201,"1,316",527,"14,793",574,832,"13,387"
30,New Hampshire,"1,384,607","1,243,278","86,815","49,782",0,209,430,0,"2,974","1,025","2,087",0,257,"1,938",416,251,0,412,249,130,0,0,0,"2,743",726,"23,605",0,275,0,49,83,0,496,0,699,0,"1,939","1,016",0,579,98,39,"1,247","1,000",126,106,244,"1,239",435,"2,073",529,58,0,0,0,"4,732",0,147,"4,585"
31,New Jersey,"9,174,261","8,289,128","630,801","175,023",565,0,"1,077",221,"6,543","1,905","1,417","1,463","1,625","9,627",961,"1,215",0,"2,484","2,710",165,54,357,753,287,"3,249","4,383",985,"1,400",0,299,0,0,965,157,0,228,"75,103","3,264",86,"1,991",922,108,"31,309",883,"2,817",0,366,"5,690",223,310,"4,689","1,179",262,726,0,"79,309","1,975",0,"77,334"
32,New Mexico,"2,092,565","1,846,474","164,418","72,095",316,301,"6,862",205,"8,897","7,846",391,61,269,"2,164","1,162",219,866,"1,261",0,"1,343",423,671,304,107,457,364,364,373,144,"1,237",313,380,"1,621",210,844,0,"2,467","1,114",0,"1,186",393,503,"1,114",126,67,770,271,"16,986","1,959",0,"1,749","2,468",0,440,507,"9,578",0,149,"9,429"
33,New York,"19,474,187","17,446,663","1,588,018","301,461",804,387,"4,661",430,"34,681","5,720","14,981","2,179","5,861","21,300","8,889",475,451,"8,679","2,426","1,788","2,097","1,167",719,"2,949","7,787","20,673","3,851","1,922",769,"2,589","1,092",640,"2,215","3,663","38,771",455,0,"10,915",47,"3,714","3,095","3,883","28,184","1,993","3,432",219,"2,164","12,233","1,182","4,092","11,990","4,683",231,"3,411",922,"138,045","3,323",645,"134,077"
34,North Carolina,"10,588,557","9,242,557","946,048","341,582","3,872","1,900","5,619","2,057","22,891","7,298","4,250","1,184","1,399","34,920","22,551","3,685",734,"7,931","4,829","1,567","2,392","2,152","2,191","2,021","12,924","6,781","4,295","3,518",582,"4,786",231,641,"4,196","2,698","10,750",936,"25,024",0,116,"10,094","1,736","2,019","11,683","1,736","27,961",742,"9,049","16,332","2,942",550,"33,919","3,962","3,016","2,294",626,"58,370","1,153",91,"57,126"
35,North Dakota,"770,498","648,407","82,522","34,536",78,453,535,34,"1,989",912,0,0,80,675,433,39,338,458,324,478,78,19,506,25,94,51,124,"13,047",5,144,"2,496",131,277,2,52,"1,281",526,23,0,0,507,638,128,0,0,"1,433",56,"1,745",349,0,113,"1,040",0,"2,376",444,"5,033",836,0,"4,197"
36,Ohio,"11,631,820","10,218,317","1,161,398","200,809","3,028",168,"5,224","1,804","11,924","4,849",675,706,180,"16,831","4,155","1,187",514,"8,652","12,230","1,380",960,"13,836","2,047",250,"3,284","3,523","12,753","1,972",181,"2,945",238,274,"1,334",152,"6,277",264,"8,431","5,592",478,0,510,"1,922","11,399",381,"4,476",205,"6,283","10,239","1,670",516,"7,309","2,929","11,095","3,514",63,"51,296","1,555",469,"49,272"
37,Oklahoma,"3,974,110","3,396,824","441,285","117,788",846,"1,124","4,822","4,277","15,200","5,902","1,038",314,272,"3,478","2,576","1,164",422,"3,052",449,380,"7,440",657,"2,140",205,213,604,770,778,722,"5,711",729,231,"1,989",57,60,"1,388","1,840","2,613",443,943,0,"3,187",757,0,658,750,"1,988","26,440","1,003",0,"2,152","3,811",432,"1,514",247,"18,213",205,0,"18,008"
38,Oregon,"4,201,011","3,590,534","464,369","128,359",216,236,"6,108",422,"36,429","4,827",267,0,61,"3,501","1,230","2,099","7,508","3,266",642,978,562,53,"1,190",626,687,"2,062","1,139","1,525",358,120,"2,723",726,"2,049",102,833,"1,057","3,712",775,278,"2,302",834,0,624,0,828,261,"1,819","3,534","2,390",260,539,"25,457",0,"1,056",88,"17,749",0,325,"17,424"
39,Pennsylvania,"12,845,436","11,466,446","1,059,216","262,700",775,519,"5,561",624,"16,336","3,840","2,816","8,158","1,664","16,014","2,982",193,"1,962","5,659","1,498","1,051",63,"1,371","2,744","1,205","22,247","7,541","3,322","1,239","1,141","1,160",593,75,"1,555","1,260","40,517",386,"44,807","9,687",0,"10,436",263,"1,530",0,"1,206","4,706",36,"4,227","8,544",293,247,"11,888","2,687","2,442","3,401",229,"57,074","3,291",102,"53,681"
40,Rhode Island,"1,083,984","967,814","67,254","40,311",184,0,662,85,919,0,"2,896",49,501,"3,951",369,420,230,355,0,210,0,84,86,310,"1,143","12,606",158,234,67,"1,063",0,0,309,261,"1,330",97,"2,324",468,215,120,0,152,"1,543",0,"1,100",0,172,"2,684",618,466,786,662,0,243,179,"8,605",72,0,"8,533"
41,South Carolina,"5,228,328","4,524,995","461,411","219,707","1,438",332,"2,628",819,"15,035","2,472","4,437","2,007","1,234","14,769","19,121",191,387,"5,342","3,136",973,914,"1,832","2,225","1,080","7,891","5,109","1,829","1,234","2,505","2,362",778,54,388,"2,191","7,926",804,"15,537","36,324",653,"6,059","1,338","1,561","9,377",720,0,30,"4,374","8,811","1,118","1,206","11,446","5,097","1,195",989,429,"22,215",582,247,"21,386"
42,South Dakota,"898,505","778,044","85,602","31,300",0,165,"1,446",342,957,726,0,0,0,328,"2,134",729,106,29,29,"2,939",438,60,320,0,0,76,375,"6,934",114,627,"1,363","2,109",838,0,66,401,52,441,645,120,0,"1,314",129,0,208,0,340,832,195,0,373,"1,001",0,487,"1,512","3,559",0,0,"3,559"
43,Tennessee,"6,976,549","6,069,961","649,312","225,969","9,375","1,025","4,584","7,202","22,565","4,105",936,114,391,"25,318","14,770",430,"1,332","12,602","4,067",332,744,"8,227","4,772",0,"2,635","2,424","5,843","1,809","9,491","3,102",556,981,"1,034",528,"3,517",146,"5,821","7,391",94,"5,708","1,548","2,016","6,568",688,"6,557",592,0,"12,862","2,567",184,"9,450","4,661",486,"3,494",325,"31,307",434,162,"30,711"
44,Texas,"29,671,447","25,416,204","3,349,854","668,338","8,618","3,943","22,634","18,562","102,442","24,511","4,973","1,817","1,461","41,747","22,324","6,970","3,553","25,272","10,167","7,080","8,257","8,006","25,192","1,910","13,711","9,565","13,692","9,423","8,177","12,766","2,224","4,296","12,645","1,593","12,949","17,455","30,890","17,975","2,791","12,423","24,318","12,894","12,578",346,"6,016","1,940","12,617",0,"10,887",416,"20,705","21,083","1,232","9,388","1,904","237,051","2,441",859,"233,751"
45,Utah,"3,337,151","2,859,230","367,147","91,341",609,338,"5,357",690,"18,669","5,327",161,0,0,"3,025",398,"1,299","7,774","1,456",111,60,247,702,34,501,"1,030","1,391","1,263",980,79,"1,723",709,233,"3,549",208,563,"1,338","2,236","1,348",227,929,547,"2,413","1,366",367,"1,196",85,730,"7,070",0,554,"1,675","8,845",108,391,"1,430","19,433",783,145,"18,505"
46,Vermont,"641,722","566,069","45,750","26,151",0,203,264,428,855,230,"1,247",142,307,873,143,121,145,404,219,333,0,320,25,"1,068",842,"4,760",201,47,140,19,327,0,208,"1,826","1,659",103,"3,196",996,0,20,0,287,873,80,93,0,18,"1,128",12,0,"1,215",646,0,128,0,"3,752",0,0,"3,752"
47,Virginia,"8,590,803","7,439,966","821,193","266,970","1,794","1,513","3,478",301,"19,036","4,485","1,792",707,"13,582","23,766","6,689","1,852","1,353","5,881","4,800",792,"3,130","2,105","1,978",161,"28,470","4,709","3,808","1,703","2,049","2,025",534,824,"1,536",616,"11,155",610,"17,516","21,395",0,"6,151","2,290","2,428","16,830",384,"7,680",0,"5,249","13,359","1,079",324,0,"6,877","4,811","3,312",51,"62,674","1,003",685,"60,986"
48,Washington,"7,710,339","6,572,952","831,247","248,355",488,"3,048","7,237","1,105","49,968","9,396",795,146,279,"8,368","5,574","7,392","10,557","4,772","1,118","1,512","1,161",816,"1,222",835,"2,038","5,773","3,541","5,002",680,"3,187","3,245",766,"5,524",731,"2,943","2,014","4,732","5,849",230,"3,515","1,088","36,061","3,789",463,"3,831",593,"3,331","19,245","5,400",392,"7,406",0,121,823,253,"57,785",195,"2,884","54,706"
49,West Virginia,"1,758,432","1,576,119","136,161","43,493",478,0,240,121,879,210,395,58,237,"3,418","2,903",35,0,806,"1,159",0,170,981,371,0,"5,246",8,"1,056",31,91,0,384,0,407,0,290,138,949,"2,217",0,"4,356",98,332,"4,299",0,333,126,458,580,766,226,"8,279",0,0,192,170,"2,659",0,0,"2,659"
50,Wisconsin,"5,835,492","5,119,356","571,451","120,434",635,774,"3,474",694,"7,537","2,564",200,0,254,"6,762","1,064",121,784,"27,369","2,299","2,188",136,589,"1,137",235,548,877,"4,250","19,307",378,"2,679",339,568,"1,145",0,704,964,"1,626","3,591","1,208","2,740",917,"1,308","1,761",0,662,649,"1,827","6,088","1,300",54,"1,360","4,207",216,0,345,"24,251","1,864",108,"22,279"
51,Wyoming,"575,705","487,359","57,696","28,948",0,0,"2,132",57,"1,558","5,076",0,17,0,"1,063",425,503,"1,528",319,34,142,0,17,261,17,253,91,47,463,71,665,"1,176",729,769,14,21,67,463,845,164,236,65,"1,426",133,0,359,"1,382",210,"2,211","2,008",0,337,"1,225",0,369,0,"1,702",4,221,"1,477"
52,Puerto Rico,"3,203,439","3,015,876","156,208","26,989",0,0,236,0,773,153,722,103,0,"8,793","1,642",96,0,553,0,176,0,0,0,0,0,924,0,150,0,0,0,0,0,61,"1,505",161,"2,847",240,832,327,0,0,"1,844",0,189,0,54,"3,612",0,0,391,328,0,277,0,"4,366",0,0,"4,366"
